Yahoo_Ticker,Ticker,Name,Sector,Country,Currency_Yahoo
REGN,REGN,Regeneron Pharmaceuticals,Health Care,USA,EURUSD=X
RF,RF,Regions Financial Corp.,Financials,USA,EURUSD=X
RSG,RSG,Republic Services Inc,Industrials,USA,EURUSD=X
RMD,RMD,ResMed,Health Care,USA,EURUSD=X
RHI,RHI,Robert Half International,Industrials,USA,EURUSD=X
ROK,ROK,Rockwell Automation Inc.,Industrials,USA,EURUSD=X
ROL,ROL,Rollins Inc.,Industrials,USA,EURUSD=X
ROP,ROP,Roper Technologies,Industrials,USA,EURUSD=X
ROST,ROST,Ross Stores,Consumer Discretionary,USA,EURUSD=X
RCL,RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,USA,EURUSD=X
SPGI,SPGI,"S&P Global, Inc.",Financials,USA,EURUSD=X
CRM,CRM,Salesforce.com,Information Technology,USA,EURUSD=X
SBAC,SBAC,SBA Communications,Real Estate,USA,EURUSD=X
SLB,SLB,Schlumberger Ltd.,Energy,USA,EURUSD=X
STX,STX,Seagate Technology,Information Technology,USA,EURUSD=X
SEE,SEE,Sealed Air,Materials,USA,EURUSD=X
SRE,SRE,Sempra Energy,Utilities,USA,EURUSD=X
NOW,NOW,ServiceNow,Information Technology,USA,EURUSD=X
SHW,SHW,Sherwin-Williams,Materials,USA,EURUSD=X
SPG,SPG,Simon Property Group Inc,Real Estate,USA,EURUSD=X
SWKS,SWKS,Skyworks Solutions,Information Technology,USA,EURUSD=X
SLG,SLG,SL Green Realty,Real Estate,USA,EURUSD=X
SNA,SNA,Snap-on,Industrials,USA,EURUSD=X
SO,SO,Southern Company,Utilities,USA,EURUSD=X
LUV,LUV,Southwest Airlines,Industrials,USA,EURUSD=X
SWK,SWK,Stanley Black & Decker,Industrials,USA,EURUSD=X
SBUX,SBUX,Starbucks Corp.,Consumer Discretionary,USA,EURUSD=X
STT,STT,State Street Corp.,Financials,USA,EURUSD=X
STE,STE,STERIS plc,Health Care,USA,EURUSD=X
SYK,SYK,Stryker Corp.,Health Care,USA,EURUSD=X
SIVB,SIVB,SVB Financial,Financials,USA,EURUSD=X
SYF,SYF,Synchrony Financial,Financials,USA,EURUSD=X
SNPS,SNPS,Synopsys Inc.,Information Technology,USA,EURUSD=X
SYY,SYY,Sysco Corp.,Consumer Staples,USA,EURUSD=X
TMUS,TMUS,T-Mobile US,Communication Services,USA,EURUSD=X
TROW,TROW,T. Rowe Price Group,Financials,USA,EURUSD=X
TTWO,TTWO,Take-Two Interactive,Communication Services,USA,EURUSD=X
TPR,TPR,"Tapestry, Inc.",Consumer Discretionary,USA,EURUSD=X
TGT,TGT,Target Corp.,Consumer Discretionary,USA,EURUSD=X
TEL,TEL,TE Connectivity Ltd.,Information Technology,USA,EURUSD=X
FTI,FTI,TechnipFMC,Energy,USA,EURUSD=X
TFX,TFX,Teleflex,Health Care,USA,EURUSD=X
TXN,TXN,Texas Instruments,Information Technology,USA,EURUSD=X
TXT,TXT,Textron Inc.,Industrials,USA,EURUSD=X
TMO,TMO,Thermo Fisher Scientific,Health Care,USA,EURUSD=X
TIF,TIF,Tiffany & Co.,Consumer Discretionary,USA,EURUSD=X
TJX,TJX,TJX Companies Inc.,Consumer Discretionary,USA,EURUSD=X
TSCO,TSCO,Tractor Supply Company,Consumer Discretionary,USA,EURUSD=X
TT,TT,Trane Technologies plc,Industrials,USA,EURUSD=X
TDG,TDG,TransDigm Group,Industrials,USA,EURUSD=X
TRV,TRV,The Travelers Companies Inc.,Financials,USA,EURUSD=X
TFC,TFC,Truist Financial,Financials,USA,EURUSD=X
TWTR,TWTR,"Twitter, Inc.",Communication Services,USA,EURUSD=X
TSN,TSN,Tyson Foods,Consumer Staples,USA,EURUSD=X
UDR,UDR,"UDR, Inc.",Real Estate,USA,EURUSD=X
ULTA,ULTA,Ulta Beauty,Consumer Discretionary,USA,EURUSD=X
USB,USB,U.S. Bancorp,Financials,USA,EURUSD=X
UAA,UAA,Under Armour Class A,Consumer Discretionary,USA,EURUSD=X
UA,UA,Under Armour Class C,Consumer Discretionary,USA,EURUSD=X
UNP,UNP,Union Pacific Corp,Industrials,USA,EURUSD=X
UAL,UAL,United Airlines Holdings,Industrials,USA,EURUSD=X
UNH,UNH,United Health Group Inc.,Health Care,USA,EURUSD=X
UPS,UPS,United Parcel Service,Industrials,USA,EURUSD=X
URI,URI,"United Rentals, Inc.",Industrials,USA,EURUSD=X
UHS,UHS,"Universal Health Services, Inc.",Health Care,USA,EURUSD=X
UNM,UNM,Unum Group,Financials,USA,EURUSD=X
VFC,VFC,V.F. Corp.,Consumer Discretionary,USA,EURUSD=X
VLO,VLO,Valero Energy,Energy,USA,EURUSD=X
VAR,VAR,Varian Medical Systems,Health Care,USA,EURUSD=X
VTR,VTR,Ventas Inc,Real Estate,USA,EURUSD=X
VRSN,VRSN,Verisign Inc.,Information Technology,USA,EURUSD=X
VRSK,VRSK,Verisk Analytics,Industrials,USA,EURUSD=X
VZ,VZ,Verizon Communications,Communication Services,USA,EURUSD=X
VRTX,VRTX,Vertex Pharmaceuticals Inc,Health Care,USA,EURUSD=X
VIAC,VIAC,ViacomCBS,Communication Services,USA,EURUSD=X
V,V,Visa Inc.,Information Technology,USA,EURUSD=X
VNO,VNO,Vornado Realty Trust,Real Estate,USA,EURUSD=X
VMC,VMC,Vulcan Materials,Materials,USA,EURUSD=X
WRB,WRB,W. R. Berkley Corporation,Financials,USA,EURUSD=X
WAB,WAB,Wabtec Corporation,Industrials,USA,EURUSD=X
WMT,WMT,Walmart,Consumer Staples,USA,EURUSD=X
WBA,WBA,Walgreens Boots Alliance,Consumer Staples,USA,EURUSD=X
DIS,DIS,The Walt Disney Company,Communication Services,USA,EURUSD=X
WM,WM,Waste Management Inc.,Industrials,USA,EURUSD=X
WAT,WAT,Waters Corporation,Health Care,USA,EURUSD=X
WEC,WEC,Wec Energy Group Inc,Utilities,USA,EURUSD=X
WFC,WFC,Wells Fargo,Financials,USA,EURUSD=X
WELL,WELL,Welltower Inc.,Real Estate,USA,EURUSD=X
WDC,WDC,Western Digital,Information Technology,USA,EURUSD=X
WU,WU,Western Union Co,Information Technology,USA,EURUSD=X
WRK,WRK,WestRock,Materials,USA,EURUSD=X
WY,WY,Weyerhaeuser,Real Estate,USA,EURUSD=X
WHR,WHR,Whirlpool Corp.,Consumer Discretionary,USA,EURUSD=X
WMB,WMB,Williams Cos.,Energy,USA,EURUSD=X
WLTW,WLTW,Willis Towers Watson,Financials,USA,EURUSD=X
WYNN,WYNN,Wynn Resorts Ltd,Consumer Discretionary,USA,EURUSD=X
XEL,XEL,Xcel Energy Inc,Utilities,USA,EURUSD=X
XRX,XRX,Xerox,Information Technology,USA,EURUSD=X
XLNX,XLNX,Xilinx,Information Technology,USA,EURUSD=X
XYL,XYL,Xylem Inc.,Industrials,USA,EURUSD=X
YUM,YUM,Yum! Brands Inc,Consumer Discretionary,USA,EURUSD=X
ZBRA,ZBRA,Zebra Technologies,Information Technology,USA,EURUSD=X
ZBH,ZBH,Zimmer Biomet Holdings,Health Care,USA,EURUSD=X
ZION,ZION,Zions Bancorp,Financials,USA,EURUSD=X
ZTS,ZTS,Zoetis,Health Care,USA,EURUSD=X
