Yahoo_Ticker,Ticker,Name,Sector,Country,Currency_Yahoo
CAT,CAT,Caterpillar Inc.,Industrials,USA,EURUSD=X
CBOE,CBOE,Cboe Global Markets,Financials,USA,EURUSD=X
CBRE,CBRE,CBRE Group,Real Estate,USA,EURUSD=X
CDW,CDW,CDW,Information Technology,USA,EURUSD=X
CE,CE,Celanese,Materials,USA,EURUSD=X
CNC,CNC,Centene Corporation,Health Care,USA,EURUSD=X
CNP,CNP,CenterPoint Energy,Utilities,USA,EURUSD=X
CTL,CTL,CenturyLink Inc,Communication Services,USA,EURUSD=X
CERN,CERN,Cerner,Health Care,USA,EURUSD=X
CF,CF,CF Industries Holdings Inc,Materials,USA,EURUSD=X
SCHW,SCHW,Charles Schwab Corporation,Financials,USA,EURUSD=X
CHTR,CHTR,Charter Communications,Communication Services,USA,EURUSD=X
CVX,CVX,Chevron Corp.,Energy,USA,EURUSD=X
CMG,CMG,Chipotle Mexican Grill,Consumer Discretionary,USA,EURUSD=X
CB,CB,Chubb Limited,Financials,USA,EURUSD=X
CHD,CHD,Church & Dwight,Consumer Staples,USA,EURUSD=X
CI,CI,CIGNA Corp.,Health Care,USA,EURUSD=X
CINF,CINF,Cincinnati Financial,Financials,USA,EURUSD=X
CTAS,CTAS,Cintas Corporation,Industrials,USA,EURUSD=X
CSCO,CSCO,Cisco Systems,Information Technology,USA,EURUSD=X
C,C,Citigroup Inc.,Financials,USA,EURUSD=X
CFG,CFG,Citizens Financial Group,Financials,USA,EURUSD=X
CTXS,CTXS,Citrix Systems,Information Technology,USA,EURUSD=X
CLX,CLX,The Clorox Company,Consumer Staples,USA,EURUSD=X
CME,CME,CME Group Inc.,Financials,USA,EURUSD=X
CMS,CMS,CMS Energy,Utilities,USA,EURUSD=X
KO,KO,Coca-Cola Company,Consumer Staples,USA,EURUSD=X
CTSH,CTSH,Cognizant Technology Solutions,Information Technology,USA,EURUSD=X
CL,CL,Colgate-Palmolive,Consumer Staples,USA,EURUSD=X
CMCSA,CMCSA,Comcast Corp.,Communication Services,USA,EURUSD=X
CMA,CMA,Comerica Inc.,Financials,USA,EURUSD=X
CAG,CAG,Conagra Brands,Consumer Staples,USA,EURUSD=X
CXO,CXO,Concho Resources,Energy,USA,EURUSD=X
COP,COP,ConocoPhillips,Energy,USA,EURUSD=X
ED,ED,Consolidated Edison,Utilities,USA,EURUSD=X
STZ,STZ,Constellation Brands,Consumer Staples,USA,EURUSD=X
COO,COO,The Cooper Companies,Health Care,USA,EURUSD=X
CPRT,CPRT,Copart Inc,Industrials,USA,EURUSD=X
GLW,GLW,Corning Inc.,Information Technology,USA,EURUSD=X
CTVA,CTVA,Corteva,Materials,USA,EURUSD=X
COST,COST,Costco Wholesale Corp.,Consumer Staples,USA,EURUSD=X
COTY,COTY,"Coty, Inc",Consumer Staples,USA,EURUSD=X
CCI,CCI,Crown Castle International Corp.,Real Estate,USA,EURUSD=X
CSX,CSX,CSX Corp.,Industrials,USA,EURUSD=X
CMI,CMI,Cummins Inc.,Industrials,USA,EURUSD=X
CVS,CVS,CVS Health,Health Care,USA,EURUSD=X
DHI,DHI,D. R. Horton,Consumer Discretionary,USA,EURUSD=X
DHR,DHR,Danaher Corp.,Health Care,USA,EURUSD=X
DRI,DRI,Darden Restaurants,Consumer Discretionary,USA,EURUSD=X
DVA,DVA,DaVita Inc.,Health Care,USA,EURUSD=X
DE,DE,Deere & Co.,Industrials,USA,EURUSD=X
DAL,DAL,Delta Air Lines Inc.,Industrials,USA,EURUSD=X
XRAY,XRAY,Dentsply Sirona,Health Care,USA,EURUSD=X
DVN,DVN,Devon Energy,Energy,USA,EURUSD=X
FANG,FANG,Diamondback Energy,Energy,USA,EURUSD=X
DLR,DLR,Digital Realty Trust Inc,Real Estate,USA,EURUSD=X
DFS,DFS,Discover Financial Services,Financials,USA,EURUSD=X
