Date,Strategy_1,Strategy_2,Strategy_3,Buy_and_Hold
4/1/1921,0,0,0,1
5/1/1921,0,0,0,1
6/1/1921,0,0,0,1
7/1/1921,0,0,0,1
8/1/1921,0,0,0,1
9/1/1921,0,0,0,1
10/1/1921,0,0,0,1
11/1/1921,0,0,0,1
12/1/1921,0,0,0,1
1/1/1922,0,0,0,1
2/1/1922,0,0,0,1
3/1/1922,0,0,0,1
4/1/1922,0,0,0,1
5/1/1922,0,0,0,1
6/1/1922,0,0,0,1
7/1/1922,0,0,0,1
8/1/1922,0,0,0,1
9/1/1922,0,0,0,1
10/1/1922,0,0,0,1
11/1/1922,0,0,0,1
12/1/1922,0,0,0,1
1/1/1923,0,0,0,1
2/1/1923,0,0,0,1
3/1/1923,0,0,0,1
4/1/1923,0,0,0,1
5/1/1923,0,0,0,1
6/1/1923,0,0,0,1
7/1/1923,0,0,0,1
8/1/1923,0,0,0,1
9/1/1923,0,0,0,1
10/1/1923,0,0,0,1
11/1/1923,0,0,0,1
12/1/1923,0,0,0,1
1/1/1924,1,1,1,1
2/1/1924,1,1,1,1
3/1/1924,1,1,1,1
4/1/1924,1,1,1,1
5/1/1924,1,1,1,1
6/1/1924,1,1,1,1
7/1/1924,1,1,1,1
8/1/1924,1,1,1,1
9/1/1924,1,1,1,1
10/1/1924,1,1,1,1
11/1/1924,1,1,1,1
12/1/1924,1,1,1,1
1/1/1925,1,1,1,1
2/1/1925,1,1,1,1
3/1/1925,1,1,1,1
4/1/1925,1,1,1,1
5/1/1925,1,1,1,1
6/1/1925,1,1,1,1
7/1/1925,1,1,1,1
8/1/1925,1,1,1,1
9/1/1925,1,1,1,1
10/1/1925,1,1,1,1
11/1/1925,1,1,1,1
12/1/1925,1,1,1,1
1/1/1926,0,1,1,1
2/1/1926,0,1,1,1
3/1/1926,0,1,1,1
4/1/1926,0,1,1,1
5/1/1926,0,1,1,1
6/1/1926,0,1,1,1
7/1/1926,0,1,1,1
8/1/1926,0,1,1,1
9/1/1926,0,1,1,1
10/1/1926,0,1,1,1
11/1/1926,0,1,1,1
12/1/1926,0,1,1,1
1/1/1927,0,0,-1,1
2/1/1927,0,0,-1,1
3/1/1927,0,0,-1,1
